transport;localisation;type;mean;stderr
train_only;Dixmude;static;0.5582051277160645;0.02468517676445285
train_only;Dixmude;dynamic_edge;0.00012912750244140626;4.93195421961818e-05
train_only;Dixmude;dynamic_vertex_new;0.0038231945037841795;0.0003287743374533588
train_only;Dixmude;dynamic_vertex_old;0.0011644172668457031;8.641550815494845e-05
train_only;Ath;static;1.0988225936889648;0.06395997328174573
train_only;Ath;dynamic_edge;0.0008331489562988281;0.0002555214973330757
train_only;Ath;dynamic_vertex_new;0.0048659324645996095;0.000309942776420178
train_only;Ath;dynamic_vertex_old;0.002472257614135742;0.00011447985221919829
train_only;Tournai;static;1.7835713227589924;0.08369912218199532
train_only;Tournai;dynamic_edge;0.00026067733764648435;6.58963748562151e-05
train_only;Tournai;dynamic_vertex_new;0.005592479705810547;0.0003788789690346817
train_only;Tournai;dynamic_vertex_old;0.0033110809326171876;0.0003489710906398426
train_only;Mons;static;3.1602195103963218;0.6541778240169989
train_only;Mons;dynamic_edge;0.0014770889282226562;0.0007060871118496992
train_only;Mons;dynamic_vertex_new;0.008455934524536133;0.000622135578040548
train_only;Mons;dynamic_vertex_old;0.007997283935546875;0.00031777318865518537
train_only;Nivelles;static;4.0205849806467695;0.0028655618728524227
train_only;Nivelles;dynamic_edge;0.02263643264770508;0.012306254266751018
train_only;Nivelles;dynamic_vertex_new;0.01030461311340332;0.0008452275248542043
train_only;Nivelles;dynamic_vertex_old;0.011073627471923829;0.000792096409947496
train_only;Charleroi;static;2.534123261769613;0.018570293587932517
train_only;Charleroi;dynamic_edge;0.0007216358184814454;0.0002600801092953401
train_only;Charleroi;dynamic_vertex_new;0.007690572738647461;0.0007356656767257231
train_only;Charleroi;dynamic_vertex_old;0.010244016647338866;0.0007995372151409733
train_only;Liège;static;4.468715667724609;0.518503510910529
train_only;Liège;dynamic_edge;0.0011373710632324218;0.0003886509672454292
train_only;Liège;dynamic_vertex_new;0.013131046295166015;0.0012462256971504779
train_only;Liège;dynamic_vertex_old;0.01808026313781738;0.0012229267278397447
train_only;Bruxelles-Capitale;static;6.378498713175456;0.733838738201685
train_only;Bruxelles-Capitale;dynamic_edge;0.0019780635833740235;0.000991276795695742
train_only;Bruxelles-Capitale;dynamic_vertex_new;0.06422346115112304;0.006700901307001785
train_only;Bruxelles-Capitale;dynamic_vertex_old;0.040946855545043945;0.006345254729657958
train_bus;Dixmude;static;6.015258153279622;0.9346311124208951
train_bus;Dixmude;dynamic_edge;0.022262163162231445;0.004734174974896707
train_bus;Dixmude;dynamic_vertex_new;0.019856271743774415;0.00270544958409246
train_bus;Dixmude;dynamic_vertex_old;0.030461215972900392;0.0030439093602164504
train_bus;Ath;static;13.72934865951538;1.500179748565449
train_bus;Ath;dynamic_edge;0.04102753639221191;0.008075679954918848
train_bus;Ath;dynamic_vertex_new;0.02805668830871582;0.002935297122844143
train_bus;Ath;dynamic_vertex_old;0.03890835762023926;0.004038798509605188
train_bus;Tournai;static;85.92709438006084;2.411633325126227
train_bus;Tournai;dynamic_edge;0.1088475227355957;0.02534260158540113
train_bus;Tournai;dynamic_vertex_new;0.22190698623657226;0.01740948315635222
train_bus;Tournai;dynamic_vertex_old;0.2849824810028076;0.03666245075430268
train_bus;Mons;static;297.7362268765767;5.64132117288718
train_bus;Mons;dynamic_edge;0.22139039039611816;0.07899060825132778
train_bus;Mons;dynamic_vertex_new;0.6705568504333496;0.051331275118164765
train_bus;Mons;dynamic_vertex_old;0.7770746326446534;0.05207343658701304
train_bus;Nivelles;static;928.7844564119974;39.252781874583526
train_bus;Nivelles;dynamic_edge;0.7132465553283691;0.14827264197627207
train_bus;Nivelles;dynamic_vertex_new;1.2893968677520753;0.0658143393817198
train_bus;Nivelles;dynamic_vertex_old;1.373562641143799;0.049581451396082034
train_bus;Charleroi;static;4186.441470623016;468.3703114577675
train_bus;Charleroi;dynamic_edge;1.5563111782073975;0.5463294219172143
train_bus;Charleroi;dynamic_vertex_new;7.850730781555176;0.6751413021912064
train_bus;Charleroi;dynamic_vertex_old;4.762829294204712;0.30542532983868953

